Crustal model                   3D_Pelop_average_VP_do100km 
number of layers 
  191
Parameters of the layers
depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp      Qs
    0.18213              3.45159      1.79964    2.62534        269.94  179.96
    0.19225              3.47220      1.81772    2.62720        272.65  181.77
    0.20250              3.49296      1.83593    2.62907        275.38  183.59
    0.21338              3.51411      1.85448    2.63097        278.17  185.44
    0.22475              3.53536      1.87312    2.63289        280.96  187.31
    0.23675              3.55689      1.89201    2.63483        283.80  189.20
    0.24938              3.57865      1.91110    2.63679        286.66  191.10
    0.26263              3.60058      1.93033    2.63876        289.54  193.03
    0.27650              3.62264      1.94968    2.64075        292.45  194.96
    0.29112              3.64497      1.96927    2.64276        295.39  196.92
    0.30650              3.66753      1.98906    2.64480        298.35  198.90
    0.32263              3.69025      2.00899    2.64684        301.34  200.89
    0.33963              3.71326      2.02918    2.64892        304.37  202.91
    0.35750              3.73650      2.04957    2.65101        307.43  204.95
    0.37625              3.75992      2.07011    2.65312        310.51  207.01
    0.39600              3.78362      2.09090    2.65526        313.63  209.08
    0.41675              3.80754      2.11187    2.65741        316.78  211.18
    0.43850              3.83162      2.13300    2.65958        319.94  213.29
    0.46138              3.85595      2.15434    2.66177        323.15  215.43
    0.48550              3.88061      2.17597    2.66399        326.39  217.59
    0.51088              3.90552      2.19782    2.66624        329.67  219.78
    0.53750              3.93062      2.21984    2.66850        332.97  221.98
    0.56550              3.95599      2.24209    2.67079        336.31  224.20
    0.59488              3.98155      2.26452    2.67309        339.67  226.45
    0.62588              4.00747      2.28725    2.67542        343.08  228.72
    0.65838              4.03357      2.31015    2.67778        346.52  231.01
    0.69263              4.05999      2.33333    2.68016        349.99  233.33
    0.72863              4.08667      2.35673    2.68256        353.50  235.67
    0.76638              4.11355      2.38031    2.68498        357.04  238.03
    0.80613              4.14074      2.40416    2.68743        360.62  240.41
    0.84788              4.16818      2.42822    2.68990        364.23  242.82
    0.89175              4.19587      2.45252    2.69240        367.87  245.25
    0.93788              4.22385      2.47706    2.69492        371.55  247.70
    0.98638              4.25211      2.50185    2.69747        375.27  250.18
    1.03738              4.28066      2.52689    2.70004        379.03  252.68
    1.09100              4.30950      2.55219    2.70264        382.82  255.21
    1.14738              4.33862      2.57774    2.70526        386.66  257.77
    1.20663              4.37394      2.60354    2.70791        390.53  260.35
    1.26888              4.41768      2.62957    2.71058        394.43  262.95
    1.33438              4.46190      2.65590    2.71329        398.38  265.58
    1.40325              4.50658      2.68249    2.71602        402.37  268.24
    1.47563              4.55167      2.70933    2.71878        406.39  270.93
    1.55175              4.59724      2.73645    2.72156        410.46  273.64
    1.63175              4.64325      2.76384    2.72437        414.57  276.38
    1.71588              4.68973      2.79150    2.72722        418.72  279.15
    1.80425              4.73664      2.81943    2.73008        422.91  281.94
    1.89725              4.78406      2.84766    2.73298        427.14  284.76
    1.99500              4.83195      2.87616    2.73591        431.42  287.61
    2.09775              4.88031      2.90494    2.73887        435.74  290.49
    2.20575              4.92914      2.93401    2.74185        440.10  293.40
    2.31925              4.97844      2.96336    2.74487        444.50  296.33
    2.43863              5.02826      2.99301    2.74791        448.95  299.30
    2.56413              5.07858      3.02296    2.75099        453.44  302.29
    2.69600              5.12938      3.05320    2.75409        457.98  305.32
    2.83463              5.18068      3.08374    2.75723        462.56  308.37
    2.98038              5.23250      3.11458    2.76040        467.18  311.45
    3.13363              5.28484      3.14574    2.76360        471.86  314.57
    3.29475              5.33772      3.17721    2.76683        476.58  317.72
    3.46413              5.39112      3.20900    2.77010        481.34  320.89
